,actual,pred
0,conficker,conficker
1,conficker,locky
2,tinba,tinba
3,corebot,corebot
4,tinba,tinba
5,ramnit,locky
6,tinba,tinba
7,corebot,corebot
8,corebot,corebot
9,locky,locky
10,cryptolocker,cryptolocker
11,conficker,conficker
12,conficker,conficker
13,cryptolocker,cryptolocker
14,conficker,conficker
15,tinba,tinba
16,pushdo,pushdo
17,ramnit,conficker
18,matsnu,matsnu
19,ramnit,ramnit
20,conficker,conficker
21,conficker,conficker
22,zeus,zeus
23,rovnix,rovnix
24,ramnit,ramnit
25,banjori,banjori
26,banjori,banjori
27,rovnix,rovnix
28,corebot,corebot
29,ramnit,ramnit
30,banjori,banjori
31,tinba,tinba
32,conficker,conficker
33,pushdo,pushdo
34,ramnit,ramnit
35,ramnit,conficker
36,tinba,ramnit
37,cryptolocker,cryptolocker
38,zeus,zeus
39,cryptolocker,cryptolocker
40,ramnit,ramnit
41,ramnit,ramnit
42,ramnit,locky
43,rovnix,rovnix
44,conficker,conficker
45,ramnit,ramnit
46,corebot,corebot
47,tinba,tinba
48,pushdo,pushdo
49,conficker,conficker
50,banjori,banjori
51,rovnix,rovnix
52,locky,locky
53,corebot,corebot
54,ramnit,conficker
55,tinba,tinba
56,corebot,corebot
57,rovnix,rovnix
58,ramnit,locky
59,locky,locky
60,pushdo,pushdo
61,ramnit,ramnit
62,cryptolocker,cryptolocker
63,banjori,banjori
64,corebot,corebot
65,zeus,zeus
66,matsnu,matsnu
67,zeus,zeus
68,rovnix,rovnix
69,matsnu,matsnu
70,conficker,tinba
71,rovnix,rovnix
72,tinba,tinba
73,locky,ramnit
74,banjori,banjori
75,tinba,tinba
76,matsnu,matsnu
77,pushdo,pushdo
78,tinba,tinba
79,tinba,tinba
80,matsnu,matsnu
81,cryptolocker,cryptolocker
82,zeus,zeus
83,cryptolocker,cryptolocker
84,zeus,zeus
85,locky,conficker
86,rovnix,rovnix
87,zeus,zeus
88,corebot,corebot
89,conficker,conficker
90,conficker,tinba
91,locky,locky
92,matsnu,matsnu
93,rovnix,rovnix
94,ramnit,locky
95,corebot,corebot
96,corebot,corebot
97,ramnit,ramnit
98,cryptolocker,cryptolocker
99,zeus,zeus
100,pushdo,pushdo
