,0,1,2,3,4,5,6,7,8,9
0,zeus,new_goz,goz,banjori,locky,conficker,rovnix,tinba,pushdo,pushdo
1,rovnix,banjori,zeus,pushdo,goz,new_goz,conficker,locky,tinba,locky
2,banjori,pushdo,rovnix,goz,conficker,locky,tinba,zeus,new_goz,zeus
3,rovnix,zeus,banjori,new_goz,pushdo,locky,conficker,goz,tinba,conficker
4,locky,zeus,tinba,goz,new_goz,banjori,conficker,pushdo,rovnix,rovnix
5,zeus,new_goz,goz,locky,tinba,rovnix,banjori,conficker,pushdo,pushdo
6,rovnix,new_goz,zeus,banjori,locky,goz,pushdo,conficker,tinba,conficker
7,locky,goz,new_goz,tinba,zeus,conficker,banjori,pushdo,rovnix,rovnix
8,zeus,locky,new_goz,tinba,goz,banjori,conficker,pushdo,rovnix,pushdo
9,rovnix,banjori,pushdo,goz,conficker,zeus,new_goz,locky,tinba,locky
10,pushdo,banjori,rovnix,goz,conficker,tinba,locky,new_goz,zeus,new_goz
11,locky,tinba,zeus,banjori,new_goz,goz,conficker,pushdo,rovnix,rovnix
12,rovnix,banjori,pushdo,zeus,conficker,new_goz,locky,goz,tinba,locky
13,banjori,zeus,rovnix,locky,pushdo,conficker,new_goz,tinba,goz,goz
14,banjori,zeus,locky,rovnix,tinba,conficker,pushdo,new_goz,goz,goz
15,banjori,pushdo,rovnix,conficker,tinba,goz,locky,zeus,new_goz,new_goz
16,locky,tinba,zeus,new_goz,banjori,goz,conficker,pushdo,rovnix,rovnix
17,rovnix,banjori,zeus,goz,pushdo,new_goz,conficker,locky,tinba,tinba
18,zeus,new_goz,locky,tinba,banjori,goz,conficker,rovnix,pushdo,pushdo
19,locky,tinba,zeus,goz,new_goz,banjori,conficker,pushdo,rovnix,rovnix
20,locky,zeus,new_goz,tinba,goz,banjori,conficker,pushdo,rovnix,rovnix
21,rovnix,banjori,goz,pushdo,conficker,zeus,new_goz,locky,tinba,tinba
22,banjori,zeus,locky,new_goz,goz,pushdo,tinba,rovnix,conficker,banjori
23,locky,zeus,tinba,new_goz,banjori,goz,conficker,pushdo,rovnix,rovnix
24,new_goz,zeus,goz,locky,rovnix,banjori,conficker,tinba,pushdo,banjori
25,pushdo,goz,banjori,rovnix,locky,conficker,new_goz,zeus,tinba,tinba
26,rovnix,banjori,pushdo,new_goz,zeus,conficker,goz,locky,tinba,tinba
27,locky,zeus,new_goz,tinba,goz,conficker,banjori,pushdo,rovnix,rovnix
28,banjori,pushdo,rovnix,goz,conficker,locky,tinba,new_goz,zeus,zeus
29,rovnix,banjori,pushdo,conficker,zeus,new_goz,locky,tinba,goz,goz
30,locky,tinba,zeus,new_goz,goz,banjori,conficker,pushdo,rovnix,rovnix
31,new_goz,zeus,rovnix,goz,locky,conficker,pushdo,banjori,tinba,banjori
32,rovnix,banjori,pushdo,conficker,goz,locky,tinba,zeus,new_goz,new_goz
33,rovnix,pushdo,goz,banjori,conficker,new_goz,zeus,locky,tinba,tinba
34,locky,tinba,zeus,banjori,new_goz,goz,conficker,pushdo,rovnix,rovnix
35,rovnix,banjori,zeus,pushdo,goz,new_goz,conficker,locky,tinba,conficker
36,pushdo,banjori,rovnix,goz,conficker,locky,tinba,new_goz,zeus,new_goz
37,zeus,rovnix,new_goz,goz,banjori,pushdo,locky,conficker,tinba,banjori
38,locky,zeus,new_goz,tinba,goz,conficker,banjori,pushdo,rovnix,rovnix
39,rovnix,banjori,goz,pushdo,zeus,conficker,new_goz,locky,tinba,locky
40,rovnix,banjori,pushdo,conficker,zeus,new_goz,goz,locky,tinba,locky
41,rovnix,banjori,pushdo,zeus,conficker,new_goz,locky,tinba,goz,goz
42,rovnix,banjori,pushdo,conficker,goz,locky,tinba,zeus,new_goz,new_goz
43,rovnix,banjori,new_goz,pushdo,zeus,conficker,goz,locky,tinba,locky
44,rovnix,banjori,zeus,conficker,new_goz,goz,pushdo,tinba,locky,locky
45,banjori,rovnix,locky,pushdo,zeus,conficker,new_goz,tinba,goz,goz
46,zeus,banjori,new_goz,locky,goz,conficker,rovnix,tinba,pushdo,conficker
47,locky,zeus,rovnix,banjori,new_goz,conficker,pushdo,tinba,goz,goz
48,goz,rovnix,pushdo,banjori,zeus,conficker,new_goz,locky,tinba,conficker
49,locky,tinba,zeus,new_goz,goz,banjori,conficker,pushdo,rovnix,rovnix
50,zeus,new_goz,rovnix,goz,locky,conficker,banjori,tinba,pushdo,pushdo
51,pushdo,banjori,rovnix,goz,conficker,tinba,locky,new_goz,zeus,zeus
52,new_goz,zeus,rovnix,goz,banjori,conficker,locky,pushdo,tinba,banjori
53,rovnix,pushdo,banjori,goz,conficker,new_goz,locky,tinba,zeus,new_goz
54,banjori,rovnix,pushdo,conficker,goz,locky,tinba,zeus,new_goz,zeus
55,zeus,new_goz,rovnix,banjori,conficker,goz,tinba,locky,pushdo,pushdo
56,banjori,pushdo,rovnix,conficker,goz,tinba,locky,zeus,new_goz,zeus
57,locky,zeus,new_goz,goz,tinba,conficker,banjori,pushdo,rovnix,banjori
58,zeus,new_goz,banjori,rovnix,locky,tinba,goz,conficker,pushdo,pushdo
59,new_goz,zeus,locky,tinba,goz,rovnix,conficker,banjori,pushdo,pushdo
60,rovnix,banjori,locky,pushdo,zeus,conficker,tinba,new_goz,goz,goz
61,pushdo,banjori,rovnix,conficker,goz,tinba,locky,new_goz,zeus,new_goz
62,pushdo,banjori,rovnix,goz,conficker,tinba,locky,new_goz,zeus,new_goz
63,banjori,rovnix,pushdo,zeus,conficker,new_goz,locky,tinba,goz,goz
64,zeus,banjori,rovnix,new_goz,conficker,locky,pushdo,tinba,goz,goz
65,locky,zeus,tinba,goz,new_goz,banjori,conficker,pushdo,rovnix,rovnix
66,locky,zeus,tinba,new_goz,goz,banjori,conficker,pushdo,rovnix,rovnix
67,goz,zeus,new_goz,locky,conficker,pushdo,banjori,rovnix,tinba,banjori
68,zeus,new_goz,locky,goz,tinba,banjori,rovnix,conficker,pushdo,banjori
69,new_goz,zeus,locky,goz,conficker,tinba,banjori,pushdo,rovnix,banjori
70,banjori,pushdo,rovnix,conficker,goz,locky,tinba,zeus,new_goz,zeus
71,rovnix,banjori,pushdo,conficker,zeus,new_goz,locky,goz,tinba,goz
72,locky,zeus,tinba,banjori,new_goz,goz,conficker,pushdo,rovnix,rovnix
73,rovnix,banjori,pushdo,zeus,conficker,goz,locky,new_goz,tinba,locky
74,rovnix,zeus,banjori,new_goz,goz,pushdo,conficker,locky,tinba,conficker
75,locky,zeus,tinba,new_goz,goz,banjori,conficker,pushdo,rovnix,rovnix
76,banjori,rovnix,pushdo,conficker,locky,tinba,goz,zeus,new_goz,new_goz
77,rovnix,banjori,new_goz,goz,zeus,conficker,pushdo,locky,tinba,locky
78,banjori,pushdo,rovnix,conficker,goz,tinba,locky,new_goz,zeus,zeus
79,rovnix,banjori,pushdo,new_goz,goz,conficker,zeus,locky,tinba,conficker
80,banjori,pushdo,rovnix,conficker,tinba,goz,locky,zeus,new_goz,new_goz
81,banjori,rovnix,zeus,locky,conficker,pushdo,new_goz,tinba,goz,goz
82,rovnix,banjori,pushdo,conficker,new_goz,zeus,goz,locky,tinba,locky
83,zeus,goz,banjori,new_goz,rovnix,locky,conficker,pushdo,tinba,tinba
84,banjori,pushdo,rovnix,conficker,goz,tinba,locky,new_goz,zeus,new_goz
85,zeus,new_goz,locky,goz,banjori,tinba,conficker,rovnix,pushdo,pushdo
86,zeus,locky,new_goz,tinba,goz,banjori,conficker,rovnix,pushdo,pushdo
87,rovnix,zeus,goz,banjori,new_goz,conficker,pushdo,locky,tinba,tinba
88,banjori,rovnix,pushdo,conficker,goz,tinba,locky,new_goz,zeus,new_goz
89,pushdo,banjori,rovnix,conficker,tinba,locky,goz,new_goz,zeus,new_goz
90,banjori,rovnix,pushdo,conficker,goz,tinba,locky,zeus,new_goz,zeus
91,new_goz,zeus,rovnix,goz,tinba,banjori,locky,conficker,pushdo,banjori
92,rovnix,banjori,zeus,pushdo,new_goz,conficker,locky,tinba,goz,goz
93,zeus,new_goz,locky,goz,tinba,banjori,conficker,rovnix,pushdo,pushdo
94,banjori,rovnix,pushdo,conficker,goz,tinba,locky,new_goz,zeus,new_goz
95,pushdo,banjori,rovnix,conficker,tinba,goz,locky,new_goz,zeus,new_goz
96,banjori,pushdo,rovnix,tinba,conficker,locky,goz,new_goz,zeus,zeus
97,rovnix,banjori,zeus,new_goz,pushdo,conficker,locky,goz,tinba,banjori
98,pushdo,banjori,rovnix,conficker,goz,tinba,locky,new_goz,zeus,zeus
99,banjori,rovnix,locky,zeus,pushdo,tinba,conficker,new_goz,goz,goz
100,rovnix,banjori,pushdo,conficker,goz,new_goz,zeus,locky,tinba,new_goz
101,zeus,locky,new_goz,tinba,banjori,rovnix,conficker,goz,pushdo,pushdo
102,zeus,locky,new_goz,goz,tinba,banjori,conficker,pushdo,rovnix,conficker
103,rovnix,zeus,banjori,new_goz,pushdo,goz,conficker,locky,tinba,locky
104,goz,zeus,new_goz,locky,banjori,conficker,pushdo,tinba,rovnix,rovnix
105,zeus,new_goz,rovnix,banjori,goz,conficker,tinba,locky,pushdo,pushdo
106,pushdo,banjori,rovnix,conficker,goz,tinba,locky,new_goz,zeus,zeus
107,zeus,new_goz,locky,banjori,tinba,goz,conficker,rovnix,pushdo,pushdo
108,rovnix,banjori,new_goz,zeus,goz,pushdo,conficker,locky,tinba,locky
109,goz,new_goz,zeus,banjori,rovnix,conficker,pushdo,locky,tinba,conficker
110,rovnix,banjori,zeus,pushdo,new_goz,conficker,locky,goz,tinba,tinba
111,rovnix,zeus,banjori,pushdo,goz,new_goz,conficker,locky,tinba,tinba
112,banjori,pushdo,rovnix,conficker,goz,tinba,locky,zeus,new_goz,zeus
113,zeus,new_goz,locky,tinba,rovnix,banjori,goz,conficker,pushdo,banjori
114,banjori,pushdo,rovnix,conficker,goz,locky,tinba,zeus,new_goz,zeus
115,zeus,new_goz,rovnix,banjori,locky,goz,conficker,tinba,pushdo,banjori
116,rovnix,banjori,pushdo,conficker,goz,tinba,locky,new_goz,zeus,new_goz
117,pushdo,banjori,rovnix,conficker,goz,tinba,locky,new_goz,zeus,new_goz
118,pushdo,banjori,rovnix,goz,conficker,tinba,locky,new_goz,zeus,zeus
119,rovnix,banjori,pushdo,conficker,goz,locky,zeus,new_goz,tinba,new_goz
120,zeus,new_goz,locky,banjori,goz,conficker,tinba,rovnix,pushdo,pushdo
