,actual,pred
0,zeus,new_goz
1,goz,goz
2,locky,pushdo
3,locky,goz
4,rovnix,rovnix
5,banjori,pushdo
6,goz,goz
7,goz,goz
8,rovnix,rovnix
9,pushdo,pushdo
10,new_goz,new_goz
11,pushdo,pushdo
12,locky,goz
13,banjori,pushdo
14,locky,tinba
15,goz,goz
16,zeus,zeus
17,locky,tinba
18,banjori,banjori
19,new_goz,zeus
20,conficker,conficker
21,goz,locky
22,pushdo,pushdo
23,goz,goz
24,zeus,zeus
25,rovnix,rovnix
26,rovnix,rovnix
27,rovnix,rovnix
28,conficker,pushdo
29,goz,goz
30,tinba,tinba
31,pushdo,pushdo
32,goz,goz
33,goz,goz
34,locky,pushdo
35,goz,goz
36,rovnix,rovnix
37,goz,tinba
38,new_goz,zeus
39,tinba,locky
40,rovnix,rovnix
41,new_goz,new_goz
42,goz,goz
43,locky,locky
44,rovnix,rovnix
45,tinba,pushdo
46,locky,locky
47,conficker,banjori
48,locky,tinba
49,new_goz,zeus
50,zeus,zeus
51,conficker,locky
52,zeus,new_goz
53,zeus,zeus
54,conficker,tinba
55,locky,locky
56,locky,locky
57,locky,zeus
58,new_goz,zeus
59,conficker,tinba
60,tinba,tinba
61,conficker,tinba
62,rovnix,rovnix
63,banjori,banjori
64,goz,locky
65,pushdo,pushdo
66,rovnix,rovnix
67,new_goz,new_goz
68,zeus,new_goz
69,conficker,pushdo
70,banjori,locky
71,new_goz,new_goz
72,tinba,tinba
73,zeus,new_goz
74,tinba,tinba
75,tinba,locky
76,new_goz,new_goz
77,new_goz,zeus
78,zeus,new_goz
79,zeus,zeus
80,new_goz,new_goz
81,tinba,tinba
82,zeus,new_goz
83,pushdo,pushdo
84,zeus,zeus
85,goz,goz
86,rovnix,rovnix
87,locky,new_goz
88,rovnix,rovnix
89,pushdo,pushdo
90,locky,conficker
91,conficker,tinba
92,goz,goz
93,tinba,tinba
94,goz,goz
95,rovnix,rovnix
96,tinba,tinba
97,banjori,banjori
98,tinba,tinba
99,conficker,tinba
100,pushdo,pushdo
101,conficker,locky
102,tinba,tinba
103,goz,tinba
104,tinba,tinba
105,locky,pushdo
106,new_goz,zeus
107,rovnix,rovnix
108,pushdo,pushdo
109,goz,pushdo
110,locky,pushdo
111,tinba,tinba
112,tinba,tinba
113,zeus,zeus
114,banjori,banjori
115,locky,tinba
116,goz,goz
117,zeus,new_goz
118,goz,tinba
119,zeus,zeus
120,locky,tinba
121,locky,zeus
122,pushdo,pushdo
123,tinba,tinba
124,locky,locky
125,zeus,new_goz
126,locky,locky
127,tinba,tinba
128,rovnix,rovnix
129,pushdo,pushdo
130,pushdo,pushdo
131,zeus,zeus
132,pushdo,pushdo
133,new_goz,zeus
134,zeus,new_goz
135,goz,zeus
136,new_goz,zeus
137,conficker,locky
138,locky,tinba
139,goz,goz
140,conficker,banjori
141,pushdo,pushdo
142,goz,goz
143,rovnix,rovnix
144,conficker,locky
145,pushdo,pushdo
146,new_goz,zeus
147,tinba,tinba
148,zeus,zeus
149,banjori,banjori
150,goz,tinba
151,zeus,new_goz
152,banjori,banjori
153,rovnix,rovnix
154,zeus,new_goz
155,pushdo,pushdo
156,new_goz,new_goz
157,pushdo,pushdo
158,goz,goz
159,pushdo,pushdo
160,zeus,zeus
161,banjori,banjori
162,locky,locky
163,conficker,tinba
164,goz,goz
165,new_goz,zeus
166,locky,tinba
167,goz,goz
168,banjori,banjori
169,zeus,zeus
170,rovnix,rovnix
171,zeus,new_goz
172,zeus,zeus
173,conficker,goz
174,locky,locky
175,tinba,tinba
176,zeus,new_goz
177,pushdo,pushdo
178,zeus,zeus
179,zeus,new_goz
180,conficker,locky
181,conficker,locky
182,locky,locky
183,rovnix,rovnix
184,tinba,pushdo
185,goz,zeus
186,rovnix,rovnix
187,conficker,conficker
188,pushdo,pushdo
189,locky,locky
190,pushdo,rovnix
191,pushdo,pushdo
192,conficker,locky
193,pushdo,pushdo
194,conficker,goz
195,new_goz,new_goz
196,pushdo,pushdo
197,banjori,banjori
198,pushdo,pushdo
199,banjori,banjori
200,goz,goz
201,locky,pushdo
202,goz,goz
203,conficker,tinba
204,conficker,locky
205,conficker,conficker
206,new_goz,new_goz
207,locky,tinba
208,zeus,new_goz
209,goz,pushdo
210,conficker,new_goz
211,tinba,tinba
212,locky,locky
213,zeus,new_goz
214,zeus,zeus
215,banjori,banjori
216,tinba,locky
217,pushdo,pushdo
218,tinba,tinba
219,new_goz,zeus
220,banjori,banjori
221,tinba,tinba
222,pushdo,pushdo
223,new_goz,zeus
224,new_goz,new_goz
225,new_goz,zeus
226,pushdo,pushdo
227,goz,locky
228,new_goz,new_goz
229,goz,goz
230,banjori,banjori
231,new_goz,zeus
232,tinba,locky
233,conficker,conficker
234,rovnix,rovnix
235,zeus,new_goz
236,banjori,pushdo
237,new_goz,zeus
238,rovnix,rovnix
239,banjori,locky
240,new_goz,zeus
241,conficker,zeus
242,locky,conficker
243,tinba,tinba
244,rovnix,rovnix
245,rovnix,rovnix
246,locky,tinba
247,zeus,new_goz
248,goz,goz
249,goz,goz
250,locky,tinba
251,rovnix,rovnix
252,goz,goz
253,zeus,zeus
254,pushdo,pushdo
255,banjori,pushdo
256,new_goz,zeus
257,tinba,conficker
258,locky,pushdo
259,rovnix,rovnix
