,0,1,2,3,4,5,6,7,8,9
0,banjori,locky,pushdo,conficker,rovnix,tinba,new_goz,zeus,goz,goz
1,locky,banjori,pushdo,rovnix,tinba,conficker,new_goz,zeus,goz,goz
2,locky,pushdo,banjori,rovnix,tinba,conficker,goz,new_goz,zeus,banjori
3,locky,banjori,pushdo,rovnix,tinba,conficker,goz,new_goz,zeus,conficker
4,tinba,locky,banjori,pushdo,zeus,new_goz,goz,conficker,rovnix,rovnix
5,pushdo,banjori,locky,rovnix,conficker,tinba,goz,new_goz,zeus,zeus
6,banjori,rovnix,pushdo,locky,conficker,tinba,goz,new_goz,zeus,locky
7,banjori,locky,tinba,pushdo,conficker,rovnix,zeus,goz,new_goz,conficker
8,locky,banjori,tinba,pushdo,conficker,rovnix,goz,new_goz,zeus,conficker
9,pushdo,banjori,locky,rovnix,conficker,tinba,goz,new_goz,zeus,tinba
10,banjori,locky,pushdo,rovnix,conficker,tinba,new_goz,zeus,goz,goz
11,pushdo,banjori,locky,rovnix,tinba,conficker,goz,new_goz,zeus,new_goz
12,tinba,locky,pushdo,banjori,new_goz,goz,conficker,zeus,rovnix,rovnix
13,banjori,locky,conficker,pushdo,rovnix,tinba,new_goz,zeus,goz,goz
14,locky,tinba,banjori,conficker,pushdo,new_goz,rovnix,zeus,goz,conficker
15,locky,banjori,pushdo,tinba,rovnix,conficker,new_goz,zeus,goz,goz
16,tinba,locky,pushdo,banjori,conficker,goz,rovnix,new_goz,zeus,banjori
17,locky,banjori,rovnix,tinba,conficker,pushdo,zeus,new_goz,goz,pushdo
18,banjori,locky,rovnix,pushdo,conficker,tinba,zeus,new_goz,goz,locky
19,banjori,pushdo,locky,rovnix,tinba,conficker,goz,new_goz,zeus,conficker
20,banjori,locky,tinba,conficker,rovnix,pushdo,new_goz,goz,zeus,conficker
21,pushdo,locky,rovnix,banjori,conficker,tinba,goz,new_goz,zeus,tinba
22,pushdo,locky,banjori,tinba,conficker,rovnix,goz,new_goz,zeus,zeus
23,tinba,locky,pushdo,banjori,zeus,new_goz,goz,conficker,rovnix,rovnix
24,pushdo,banjori,rovnix,locky,conficker,tinba,goz,zeus,new_goz,new_goz
25,banjori,rovnix,locky,pushdo,conficker,tinba,new_goz,goz,zeus,locky
26,banjori,locky,pushdo,rovnix,conficker,tinba,goz,zeus,new_goz,locky
27,locky,banjori,tinba,rovnix,conficker,new_goz,pushdo,zeus,goz,pushdo
28,locky,banjori,pushdo,tinba,rovnix,conficker,new_goz,goz,zeus,goz
29,banjori,locky,pushdo,rovnix,conficker,tinba,new_goz,zeus,goz,goz
30,locky,banjori,tinba,pushdo,rovnix,conficker,zeus,new_goz,goz,pushdo
31,locky,tinba,banjori,pushdo,conficker,new_goz,zeus,goz,rovnix,rovnix
32,banjori,rovnix,locky,pushdo,conficker,tinba,new_goz,zeus,goz,goz
33,banjori,locky,pushdo,rovnix,tinba,conficker,goz,zeus,new_goz,conficker
34,banjori,pushdo,locky,rovnix,conficker,tinba,new_goz,zeus,goz,locky
35,banjori,pushdo,locky,rovnix,tinba,conficker,goz,new_goz,zeus,tinba
36,banjori,locky,tinba,rovnix,conficker,pushdo,new_goz,zeus,goz,pushdo
37,tinba,locky,banjori,new_goz,zeus,pushdo,conficker,goz,rovnix,rovnix
38,banjori,locky,tinba,conficker,pushdo,rovnix,zeus,new_goz,goz,conficker
39,pushdo,locky,banjori,rovnix,tinba,conficker,goz,new_goz,zeus,zeus
40,banjori,locky,tinba,conficker,rovnix,pushdo,new_goz,zeus,goz,locky
41,locky,tinba,pushdo,banjori,conficker,rovnix,goz,new_goz,zeus,banjori
42,tinba,locky,banjori,pushdo,zeus,new_goz,goz,conficker,rovnix,rovnix
43,tinba,locky,pushdo,banjori,goz,zeus,conficker,new_goz,rovnix,rovnix
44,rovnix,banjori,pushdo,locky,conficker,tinba,new_goz,zeus,goz,tinba
45,banjori,rovnix,pushdo,locky,conficker,tinba,zeus,goz,new_goz,locky
46,locky,pushdo,banjori,rovnix,tinba,conficker,goz,zeus,new_goz,new_goz
47,banjori,locky,tinba,conficker,pushdo,rovnix,new_goz,zeus,goz,conficker
48,banjori,locky,pushdo,tinba,rovnix,conficker,new_goz,goz,zeus,locky
49,pushdo,banjori,locky,rovnix,conficker,tinba,goz,new_goz,zeus,zeus
50,tinba,locky,pushdo,banjori,goz,zeus,new_goz,conficker,rovnix,rovnix
51,banjori,locky,pushdo,rovnix,tinba,conficker,new_goz,goz,zeus,conficker
52,banjori,pushdo,locky,rovnix,conficker,tinba,goz,new_goz,zeus,zeus
53,banjori,pushdo,locky,rovnix,conficker,tinba,goz,new_goz,zeus,conficker
54,pushdo,locky,banjori,rovnix,tinba,conficker,goz,new_goz,zeus,new_goz
55,locky,tinba,banjori,pushdo,conficker,new_goz,zeus,goz,rovnix,rovnix
56,locky,banjori,rovnix,tinba,conficker,pushdo,new_goz,goz,zeus,pushdo
57,tinba,banjori,locky,pushdo,conficker,goz,zeus,new_goz,rovnix,conficker
58,banjori,pushdo,locky,rovnix,conficker,tinba,goz,new_goz,zeus,zeus
59,banjori,locky,pushdo,tinba,conficker,rovnix,new_goz,goz,zeus,tinba
60,pushdo,banjori,locky,rovnix,conficker,tinba,goz,new_goz,zeus,zeus
61,tinba,locky,pushdo,banjori,goz,new_goz,zeus,conficker,rovnix,rovnix
62,tinba,locky,pushdo,zeus,new_goz,banjori,goz,conficker,rovnix,rovnix
63,locky,tinba,banjori,rovnix,pushdo,conficker,goz,new_goz,zeus,pushdo
64,locky,banjori,pushdo,tinba,conficker,rovnix,zeus,new_goz,goz,goz
65,banjori,locky,tinba,conficker,pushdo,rovnix,goz,zeus,new_goz,conficker
66,banjori,pushdo,locky,rovnix,conficker,tinba,new_goz,zeus,goz,goz
67,tinba,banjori,locky,conficker,pushdo,rovnix,goz,zeus,new_goz,banjori
68,locky,banjori,tinba,pushdo,conficker,rovnix,new_goz,zeus,goz,goz
69,locky,banjori,tinba,pushdo,rovnix,conficker,goz,new_goz,zeus,locky
