,actual,pred
0,matsnu,matsnu
1,locky,ramnit
2,cryptolocker,cryptolocker
3,zeus,zeus
4,banjori,banjori
5,corebot,corebot
6,tinba,tinba
7,matsnu,matsnu
8,ramnit,conficker
9,ramnit,locky
10,matsnu,matsnu
11,zeus,zeus
12,pushdo,pushdo
13,zeus,zeus
14,conficker,conficker
15,tinba,tinba
16,rovnix,rovnix
17,banjori,banjori
18,matsnu,matsnu
19,corebot,tinba
20,ramnit,ramnit
21,ramnit,ramnit
22,tinba,tinba
23,ramnit,ramnit
24,zeus,zeus
25,conficker,conficker
26,conficker,conficker
27,locky,locky
28,zeus,zeus
29,corebot,corebot
30,locky,ramnit
31,cryptolocker,cryptolocker
32,rovnix,rovnix
33,cryptolocker,cryptolocker
34,ramnit,tinba
35,rovnix,rovnix
36,cryptolocker,cryptolocker
37,cryptolocker,cryptolocker
38,pushdo,pushdo
39,ramnit,ramnit
40,pushdo,pushdo
41,banjori,banjori
42,matsnu,matsnu
43,locky,locky
44,cryptolocker,cryptolocker
45,zeus,zeus
46,rovnix,rovnix
47,pushdo,pushdo
48,corebot,corebot
49,banjori,banjori
50,matsnu,matsnu
51,matsnu,matsnu
52,corebot,corebot
53,cryptolocker,cryptolocker
54,pushdo,pushdo
55,banjori,banjori
56,banjori,banjori
57,corebot,corebot
58,zeus,zeus
59,tinba,tinba
60,cryptolocker,cryptolocker
61,locky,ramnit
62,ramnit,ramnit
63,zeus,zeus
64,matsnu,matsnu
65,tinba,tinba
66,corebot,corebot
67,tinba,locky
68,pushdo,pushdo
69,cryptolocker,cryptolocker
70,corebot,corebot
71,matsnu,matsnu
72,locky,conficker
73,tinba,tinba
74,pushdo,pushdo
75,banjori,banjori
76,locky,ramnit
77,tinba,tinba
78,cryptolocker,cryptolocker
79,cryptolocker,cryptolocker
80,conficker,locky
81,cryptolocker,cryptolocker
82,cryptolocker,cryptolocker
83,ramnit,ramnit
84,zeus,zeus
85,rovnix,rovnix
86,cryptolocker,cryptolocker
87,corebot,corebot
88,conficker,locky
89,corebot,corebot
90,cryptolocker,cryptolocker
91,tinba,tinba
92,cryptolocker,cryptolocker
93,corebot,corebot
94,ramnit,ramnit
95,matsnu,matsnu
96,corebot,corebot
97,zeus,zeus
98,conficker,conficker
99,matsnu,matsnu
100,ramnit,ramnit
101,rovnix,rovnix
102,cryptolocker,cryptolocker
103,pushdo,pushdo
104,cryptolocker,cryptolocker
105,tinba,tinba
106,corebot,corebot
107,cryptolocker,cryptolocker
108,conficker,ramnit
109,zeus,zeus
110,zeus,zeus
111,conficker,conficker
112,pushdo,pushdo
113,tinba,tinba
114,cryptolocker,cryptolocker
115,ramnit,ramnit
116,pushdo,pushdo
117,rovnix,rovnix
118,zeus,zeus
119,zeus,zeus
120,corebot,corebot
121,tinba,tinba
122,tinba,tinba
123,cryptolocker,cryptolocker
124,pushdo,pushdo
125,corebot,corebot
126,matsnu,matsnu
127,corebot,corebot
128,pushdo,pushdo
129,tinba,tinba
130,banjori,banjori
131,locky,ramnit
132,ramnit,ramnit
133,zeus,zeus
134,matsnu,matsnu
135,tinba,tinba
136,zeus,zeus
137,conficker,locky
138,pushdo,pushdo
139,pushdo,pushdo
140,matsnu,matsnu
141,banjori,banjori
142,conficker,conficker
143,conficker,locky
144,tinba,tinba
145,zeus,zeus
146,banjori,banjori
147,rovnix,rovnix
148,ramnit,ramnit
149,zeus,zeus
150,conficker,conficker
151,rovnix,rovnix
152,ramnit,ramnit
153,pushdo,pushdo
154,cryptolocker,cryptolocker
155,zeus,zeus
156,locky,tinba
157,conficker,conficker
158,zeus,zeus
159,pushdo,pushdo
160,locky,ramnit
161,cryptolocker,cryptolocker
162,conficker,conficker
163,zeus,zeus
164,zeus,zeus
165,zeus,zeus
166,cryptolocker,cryptolocker
167,locky,ramnit
168,rovnix,rovnix
169,tinba,tinba
170,rovnix,rovnix
171,cryptolocker,cryptolocker
172,cryptolocker,cryptolocker
173,cryptolocker,cryptolocker
174,pushdo,pushdo
175,matsnu,matsnu
176,locky,tinba
177,ramnit,ramnit
178,conficker,conficker
179,conficker,conficker
180,conficker,conficker
181,matsnu,matsnu
182,conficker,locky
183,locky,conficker
184,conficker,conficker
185,tinba,tinba
186,cryptolocker,cryptolocker
187,tinba,tinba
188,matsnu,matsnu
189,zeus,zeus
190,rovnix,rovnix
191,conficker,conficker
192,cryptolocker,cryptolocker
193,ramnit,ramnit
194,conficker,conficker
195,ramnit,ramnit
196,rovnix,rovnix
197,tinba,tinba
198,conficker,conficker
199,conficker,conficker
200,ramnit,tinba
201,zeus,zeus
202,locky,ramnit
203,tinba,tinba
204,ramnit,ramnit
205,pushdo,pushdo
206,ramnit,ramnit
207,zeus,zeus
208,matsnu,matsnu
209,matsnu,matsnu
210,pushdo,pushdo
211,locky,locky
212,zeus,zeus
213,locky,locky
214,pushdo,pushdo
215,pushdo,pushdo
216,pushdo,pushdo
217,cryptolocker,cryptolocker
218,ramnit,ramnit
219,rovnix,rovnix
220,banjori,banjori
221,pushdo,pushdo
222,corebot,corebot
223,conficker,tinba
224,rovnix,rovnix
225,rovnix,rovnix
226,matsnu,matsnu
227,tinba,tinba
228,pushdo,pushdo
229,corebot,corebot
230,cryptolocker,cryptolocker
231,corebot,corebot
232,cryptolocker,cryptolocker
233,pushdo,pushdo
234,conficker,conficker
235,tinba,tinba
236,cryptolocker,cryptolocker
237,ramnit,ramnit
238,locky,conficker
239,matsnu,matsnu
240,zeus,zeus
241,tinba,tinba
242,cryptolocker,cryptolocker
243,matsnu,matsnu
244,matsnu,matsnu
245,corebot,corebot
246,rovnix,rovnix
247,matsnu,matsnu
248,corebot,corebot
249,conficker,conficker
250,corebot,corebot
251,matsnu,matsnu
252,zeus,zeus
253,pushdo,pushdo
254,banjori,banjori
255,pushdo,pushdo
256,tinba,tinba
257,conficker,conficker
258,rovnix,rovnix
259,tinba,ramnit
260,matsnu,matsnu
261,tinba,ramnit
262,locky,ramnit
263,ramnit,ramnit
264,matsnu,matsnu
265,zeus,zeus
266,pushdo,pushdo
267,pushdo,pushdo
268,pushdo,pushdo
269,matsnu,matsnu
270,tinba,locky
271,conficker,conficker
272,conficker,conficker
273,corebot,corebot
274,zeus,zeus
275,cryptolocker,cryptolocker
276,banjori,banjori
277,matsnu,matsnu
278,zeus,zeus
279,ramnit,locky
280,rovnix,rovnix
281,ramnit,ramnit
282,rovnix,rovnix
283,zeus,zeus
284,rovnix,rovnix
285,ramnit,ramnit
286,rovnix,rovnix
287,corebot,corebot
288,locky,conficker
289,ramnit,ramnit
290,rovnix,rovnix
291,conficker,locky
292,conficker,conficker
293,conficker,conficker
294,corebot,corebot
295,banjori,banjori
296,tinba,tinba
297,ramnit,ramnit
298,banjori,banjori
299,pushdo,pushdo
300,ramnit,ramnit
301,locky,locky
302,conficker,locky
303,matsnu,matsnu
304,ramnit,ramnit
305,locky,locky
306,zeus,zeus
307,conficker,conficker
308,conficker,locky
309,cryptolocker,cryptolocker
310,zeus,zeus
311,ramnit,ramnit
312,corebot,corebot
313,cryptolocker,cryptolocker
314,banjori,banjori
315,banjori,banjori
316,matsnu,matsnu
317,cryptolocker,cryptolocker
318,matsnu,matsnu
319,corebot,corebot
320,rovnix,rovnix
321,conficker,ramnit
322,banjori,banjori
323,zeus,zeus
324,conficker,locky
325,banjori,banjori
326,tinba,ramnit
327,conficker,conficker
328,corebot,ramnit
329,zeus,zeus
330,zeus,zeus
331,locky,locky
332,matsnu,matsnu
333,conficker,conficker
334,conficker,conficker
335,locky,tinba
336,zeus,zeus
337,banjori,banjori
338,zeus,zeus
339,locky,locky
340,cryptolocker,cryptolocker
341,cryptolocker,cryptolocker
342,conficker,conficker
343,matsnu,matsnu
344,corebot,corebot
345,corebot,corebot
346,ramnit,locky
347,zeus,zeus
348,banjori,banjori
349,cryptolocker,cryptolocker
350,cryptolocker,cryptolocker
351,conficker,ramnit
352,pushdo,pushdo
353,cryptolocker,cryptolocker
354,pushdo,pushdo
355,corebot,corebot
356,locky,ramnit
357,corebot,corebot
358,matsnu,matsnu
359,rovnix,rovnix
360,cryptolocker,cryptolocker
361,tinba,tinba
362,corebot,corebot
363,zeus,zeus
364,zeus,zeus
365,locky,ramnit
366,tinba,tinba
367,cryptolocker,cryptolocker
368,conficker,locky
369,conficker,conficker
370,ramnit,conficker
371,matsnu,matsnu
372,tinba,tinba
373,ramnit,ramnit
374,cryptolocker,cryptolocker
375,corebot,corebot
376,matsnu,matsnu
377,banjori,banjori
378,rovnix,rovnix
379,rovnix,rovnix
380,ramnit,ramnit
381,banjori,banjori
382,conficker,conficker
383,ramnit,ramnit
384,cryptolocker,cryptolocker
385,zeus,zeus
386,corebot,corebot
387,banjori,banjori
388,pushdo,pushdo
389,corebot,corebot
390,matsnu,matsnu
391,corebot,corebot
392,rovnix,rovnix
393,rovnix,rovnix
394,cryptolocker,cryptolocker
395,cryptolocker,cryptolocker
396,zeus,zeus
397,ramnit,ramnit
398,banjori,banjori
399,corebot,corebot
400,tinba,tinba
401,matsnu,matsnu
402,ramnit,locky
403,rovnix,rovnix
404,pushdo,pushdo
405,tinba,tinba
406,cryptolocker,cryptolocker
407,banjori,banjori
408,matsnu,matsnu
409,zeus,zeus
410,corebot,corebot
411,banjori,banjori
412,locky,ramnit
413,matsnu,matsnu
414,locky,locky
415,rovnix,rovnix
416,ramnit,ramnit
417,tinba,tinba
418,pushdo,pushdo
419,ramnit,ramnit
420,matsnu,matsnu
421,corebot,corebot
422,ramnit,ramnit
423,rovnix,rovnix
424,pushdo,pushdo
425,zeus,zeus
426,conficker,conficker
427,zeus,zeus
428,ramnit,ramnit
429,pushdo,pushdo
430,pushdo,pushdo
431,corebot,corebot
432,conficker,conficker
433,cryptolocker,cryptolocker
434,banjori,banjori
435,corebot,corebot
436,locky,ramnit
437,corebot,corebot
438,matsnu,matsnu
439,corebot,corebot
440,cryptolocker,cryptolocker
441,banjori,banjori
442,cryptolocker,cryptolocker
443,cryptolocker,cryptolocker
444,matsnu,matsnu
445,banjori,banjori
446,locky,ramnit
447,pushdo,pushdo
448,matsnu,matsnu
449,tinba,tinba
450,ramnit,ramnit
451,ramnit,tinba
452,locky,pushdo
453,ramnit,locky
454,conficker,conficker
455,zeus,zeus
456,tinba,locky
457,rovnix,rovnix
458,cryptolocker,cryptolocker
459,corebot,corebot
460,rovnix,rovnix
461,locky,locky
462,conficker,locky
463,pushdo,pushdo
464,banjori,banjori
465,corebot,corebot
466,rovnix,rovnix
467,tinba,ramnit
468,zeus,zeus
469,cryptolocker,cryptolocker
470,conficker,locky
471,cryptolocker,cryptolocker
472,ramnit,conficker
473,ramnit,ramnit
474,corebot,corebot
475,corebot,corebot
476,ramnit,ramnit
477,conficker,conficker
478,pushdo,pushdo
479,cryptolocker,cryptolocker
480,ramnit,conficker
481,corebot,corebot
482,conficker,conficker
483,conficker,conficker
484,ramnit,ramnit
485,locky,tinba
486,corebot,corebot
487,rovnix,rovnix
488,corebot,corebot
489,pushdo,pushdo
490,conficker,locky
491,conficker,conficker
492,cryptolocker,cryptolocker
493,corebot,corebot
494,banjori,banjori
495,ramnit,ramnit
496,locky,locky
497,pushdo,pushdo
498,corebot,corebot
499,banjori,banjori
500,rovnix,rovnix
501,conficker,conficker
502,conficker,ramnit
503,cryptolocker,cryptolocker
504,rovnix,rovnix
505,pushdo,pushdo
506,locky,tinba
507,matsnu,matsnu
508,ramnit,banjori
509,zeus,zeus
510,cryptolocker,cryptolocker
511,zeus,zeus
512,pushdo,pushdo
513,cryptolocker,cryptolocker
514,zeus,zeus
515,conficker,conficker
516,tinba,tinba
517,ramnit,ramnit
518,banjori,banjori
519,cryptolocker,cryptolocker
520,corebot,corebot
521,zeus,zeus
522,matsnu,matsnu
523,tinba,tinba
524,cryptolocker,cryptolocker
525,pushdo,pushdo
526,matsnu,matsnu
527,cryptolocker,cryptolocker
528,corebot,corebot
529,zeus,zeus
530,cryptolocker,cryptolocker
531,corebot,corebot
532,pushdo,pushdo
533,locky,locky
534,zeus,zeus
535,tinba,tinba
536,cryptolocker,cryptolocker
537,rovnix,rovnix
538,conficker,conficker
539,matsnu,matsnu
540,banjori,banjori
541,conficker,conficker
542,locky,tinba
543,matsnu,matsnu
544,cryptolocker,cryptolocker
545,cryptolocker,cryptolocker
546,tinba,tinba
547,tinba,tinba
548,tinba,tinba
549,banjori,banjori
550,locky,tinba
551,cryptolocker,cryptolocker
552,cryptolocker,cryptolocker
553,rovnix,rovnix
554,matsnu,matsnu
555,banjori,banjori
556,matsnu,matsnu
557,rovnix,rovnix
558,zeus,zeus
559,ramnit,locky
560,matsnu,matsnu
561,banjori,banjori
562,ramnit,ramnit
563,corebot,corebot
564,corebot,corebot
565,banjori,banjori
566,cryptolocker,cryptolocker
567,banjori,banjori
568,conficker,pushdo
569,pushdo,pushdo
570,corebot,corebot
571,matsnu,matsnu
572,zeus,zeus
573,banjori,banjori
574,conficker,locky
575,locky,locky
576,cryptolocker,cryptolocker
577,corebot,corebot
578,tinba,tinba
579,banjori,banjori
580,corebot,corebot
581,zeus,zeus
582,matsnu,matsnu
583,matsnu,matsnu
584,conficker,conficker
585,rovnix,rovnix
586,cryptolocker,cryptolocker
587,corebot,corebot
588,rovnix,rovnix
589,locky,tinba
590,cryptolocker,cryptolocker
591,tinba,tinba
592,banjori,banjori
593,ramnit,ramnit
594,tinba,tinba
595,corebot,corebot
596,zeus,zeus
597,corebot,corebot
598,ramnit,ramnit
599,corebot,corebot
600,locky,conficker
601,corebot,corebot
602,pushdo,pushdo
603,ramnit,ramnit
604,cryptolocker,cryptolocker
605,tinba,tinba
606,tinba,tinba
607,rovnix,rovnix
608,locky,tinba
609,corebot,corebot
610,locky,locky
611,conficker,conficker
612,corebot,corebot
613,cryptolocker,cryptolocker
614,matsnu,matsnu
615,pushdo,pushdo
616,locky,conficker
617,pushdo,pushdo
618,pushdo,pushdo
619,pushdo,pushdo
620,corebot,corebot
621,pushdo,pushdo
