,actual,pred
0,pushdo,rovnix
1,new_goz,zeus
2,zeus,new_goz
3,new_goz,new_goz
4,goz,goz
5,locky,new_goz
6,rovnix,rovnix
7,new_goz,new_goz
8,banjori,banjori
9,banjori,goz
10,conficker,goz
11,goz,goz
12,goz,goz
13,new_goz,new_goz
14,pushdo,rovnix
15,goz,goz
16,conficker,goz
17,goz,goz
18,zeus,new_goz
19,locky,goz
20,conficker,goz
21,rovnix,rovnix
22,conficker,new_goz
23,rovnix,rovnix
24,locky,goz
25,new_goz,goz
26,goz,goz
27,goz,goz
28,banjori,goz
29,conficker,locky
30,goz,goz
31,zeus,new_goz
32,new_goz,zeus
33,new_goz,new_goz
34,new_goz,new_goz
35,tinba,goz
36,new_goz,new_goz
37,pushdo,rovnix
38,locky,goz
39,zeus,zeus
40,new_goz,new_goz
41,rovnix,rovnix
42,new_goz,new_goz
43,rovnix,rovnix
44,rovnix,rovnix
45,zeus,zeus
46,tinba,tinba
47,pushdo,pushdo
48,rovnix,rovnix
49,tinba,goz
50,rovnix,rovnix
51,new_goz,zeus
52,new_goz,new_goz
53,conficker,new_goz
54,new_goz,new_goz
55,rovnix,rovnix
56,locky,goz
57,zeus,new_goz
58,goz,goz
59,tinba,goz
60,tinba,tinba
61,goz,goz
62,banjori,rovnix
63,zeus,new_goz
64,new_goz,new_goz
65,locky,goz
66,tinba,tinba
67,locky,goz
68,zeus,new_goz
69,new_goz,new_goz
70,new_goz,new_goz
71,locky,goz
72,conficker,goz
73,tinba,goz
74,zeus,new_goz
75,conficker,goz
76,tinba,tinba
77,pushdo,rovnix
78,new_goz,zeus
79,pushdo,pushdo
80,goz,goz
81,rovnix,rovnix
82,locky,locky
83,tinba,tinba
84,goz,goz
85,zeus,new_goz
86,tinba,goz
87,rovnix,rovnix
88,zeus,new_goz
89,zeus,new_goz
90,pushdo,conficker
91,pushdo,pushdo
92,new_goz,new_goz
93,zeus,new_goz
94,locky,locky
95,rovnix,rovnix
96,tinba,goz
97,goz,goz
98,tinba,conficker
99,locky,goz
100,locky,rovnix
101,goz,goz
102,banjori,rovnix
103,rovnix,rovnix
104,conficker,rovnix
105,tinba,tinba
106,conficker,goz
107,tinba,tinba
108,banjori,rovnix
109,pushdo,pushdo
110,conficker,goz
111,pushdo,new_goz
112,goz,goz
113,tinba,locky
114,rovnix,rovnix
115,rovnix,rovnix
116,locky,rovnix
117,new_goz,new_goz
118,goz,goz
119,new_goz,new_goz
120,tinba,tinba
121,locky,goz
122,zeus,new_goz
123,zeus,new_goz
124,rovnix,rovnix
125,tinba,tinba
126,goz,goz
127,goz,goz
128,conficker,locky
129,banjori,rovnix
130,pushdo,locky
131,new_goz,zeus
132,goz,goz
133,pushdo,goz
134,goz,goz
135,locky,goz
136,pushdo,conficker
137,goz,goz
138,locky,locky
139,tinba,tinba
140,conficker,locky
141,goz,goz
142,zeus,new_goz
143,zeus,new_goz
144,conficker,goz
145,goz,goz
146,goz,goz
147,tinba,goz
148,zeus,new_goz
149,locky,goz
150,locky,goz
151,rovnix,rovnix
152,zeus,new_goz
153,goz,goz
154,goz,goz
155,banjori,rovnix
156,conficker,goz
157,pushdo,pushdo
158,tinba,goz
159,goz,goz
160,tinba,tinba
161,conficker,goz
162,new_goz,zeus
163,goz,goz
164,rovnix,rovnix
165,pushdo,locky
166,goz,goz
167,locky,new_goz
168,goz,goz
169,pushdo,rovnix
170,zeus,new_goz
171,zeus,zeus
172,rovnix,rovnix
173,rovnix,rovnix
174,conficker,goz
175,banjori,new_goz
176,rovnix,rovnix
177,goz,goz
178,pushdo,rovnix
179,zeus,zeus
180,tinba,goz
181,conficker,goz
182,zeus,new_goz
183,tinba,goz
184,pushdo,goz
185,zeus,zeus
186,new_goz,new_goz
187,new_goz,new_goz
188,new_goz,zeus
189,new_goz,new_goz
190,zeus,zeus
191,tinba,locky
192,tinba,goz
193,conficker,goz
194,tinba,goz
195,goz,goz
196,rovnix,rovnix
197,banjori,banjori
198,zeus,new_goz
199,pushdo,pushdo
200,locky,goz
201,conficker,goz
202,zeus,new_goz
203,conficker,locky
204,locky,goz
205,pushdo,locky
206,zeus,new_goz
207,goz,goz
208,zeus,zeus
209,rovnix,rovnix
210,pushdo,new_goz
211,tinba,tinba
212,new_goz,new_goz
213,locky,goz
214,banjori,goz
215,goz,goz
216,goz,goz
217,banjori,rovnix
218,banjori,new_goz
219,locky,goz
220,conficker,goz
221,goz,goz
222,locky,goz
223,rovnix,rovnix
224,goz,goz
225,locky,locky
226,goz,goz
227,new_goz,new_goz
228,conficker,tinba
229,new_goz,new_goz
230,goz,goz
231,tinba,tinba
232,goz,goz
233,pushdo,goz
234,locky,goz
235,new_goz,zeus
236,locky,goz
237,locky,goz
238,rovnix,rovnix
239,goz,goz
240,locky,goz
241,new_goz,new_goz
242,zeus,new_goz
243,rovnix,rovnix
244,banjori,rovnix
245,tinba,tinba
246,locky,goz
247,tinba,tinba
248,new_goz,new_goz
249,banjori,banjori
250,locky,goz
251,tinba,goz
252,locky,goz
253,locky,goz
254,new_goz,zeus
255,locky,tinba
256,new_goz,zeus
257,rovnix,rovnix
258,rovnix,rovnix
259,tinba,tinba
