,0,1,2
0,benign,malicious,malicious
1,benign,malicious,malicious
2,benign,malicious,malicious
3,benign,malicious,malicious
4,malicious,benign,benign
5,benign,malicious,malicious
6,benign,malicious,malicious
7,benign,malicious,malicious
8,benign,malicious,malicious
9,benign,malicious,malicious
10,benign,malicious,malicious
11,benign,malicious,malicious
12,benign,malicious,malicious
13,benign,malicious,malicious
14,benign,malicious,malicious
15,benign,malicious,malicious
16,benign,malicious,malicious
17,benign,malicious,malicious
18,malicious,benign,benign
19,benign,malicious,malicious
20,benign,malicious,malicious
21,benign,malicious,malicious
22,benign,malicious,benign
23,malicious,benign,benign
24,malicious,benign,benign
25,benign,malicious,malicious
26,benign,malicious,malicious
27,benign,malicious,malicious
28,benign,malicious,malicious
29,benign,malicious,malicious
30,benign,malicious,malicious
31,benign,malicious,malicious
32,benign,malicious,malicious
33,benign,malicious,malicious
34,benign,malicious,malicious
35,benign,malicious,malicious
36,malicious,benign,benign
37,benign,malicious,malicious
38,benign,malicious,malicious
39,benign,malicious,malicious
40,benign,malicious,malicious
41,malicious,benign,benign
42,benign,malicious,malicious
43,benign,malicious,malicious
44,benign,malicious,malicious
45,benign,malicious,malicious
46,benign,malicious,malicious
47,benign,malicious,malicious
48,benign,malicious,malicious
49,benign,malicious,malicious
50,benign,malicious,malicious
51,benign,malicious,malicious
52,benign,malicious,malicious
53,benign,malicious,malicious
54,malicious,benign,benign
55,benign,malicious,malicious
56,benign,malicious,malicious
57,benign,malicious,malicious
58,malicious,benign,benign
59,benign,malicious,malicious
60,malicious,benign,benign
61,benign,malicious,malicious
62,benign,malicious,malicious
63,benign,malicious,malicious
64,benign,malicious,malicious
65,benign,malicious,malicious
66,benign,malicious,malicious
67,benign,malicious,malicious
68,malicious,benign,benign
69,benign,malicious,malicious
70,benign,malicious,malicious
71,benign,malicious,malicious
72,benign,malicious,malicious
73,benign,malicious,malicious
74,malicious,benign,benign
75,benign,malicious,malicious
76,benign,malicious,benign
77,benign,malicious,malicious
78,malicious,benign,benign
79,malicious,benign,benign
80,benign,malicious,malicious
81,benign,malicious,malicious
82,benign,malicious,malicious
83,malicious,benign,benign
84,malicious,benign,benign
85,malicious,benign,malicious
86,malicious,benign,benign
87,benign,malicious,malicious
88,benign,malicious,malicious
89,benign,malicious,malicious
