,actual,pred
0,banjori,banjori
1,rovnix,rovnix
2,pushdo,pushdo
3,pushdo,pushdo
4,banjori,banjori
5,locky,tinba
6,conficker,tinba
7,zeus,new_goz
8,rovnix,rovnix
9,tinba,locky
10,conficker,goz
11,rovnix,rovnix
12,zeus,new_goz
13,new_goz,locky
14,conficker,tinba
15,conficker,conficker
16,locky,locky
17,new_goz,goz
18,zeus,zeus
19,conficker,locky
20,locky,locky
21,pushdo,pushdo
22,banjori,banjori
23,banjori,banjori
24,zeus,conficker
25,rovnix,rovnix
26,tinba,tinba
27,rovnix,rovnix
28,zeus,zeus
29,pushdo,pushdo
30,goz,goz
31,locky,pushdo
32,rovnix,rovnix
33,tinba,tinba
34,tinba,locky
35,rovnix,rovnix
36,new_goz,zeus
37,pushdo,pushdo
38,banjori,banjori
39,tinba,tinba
40,conficker,goz
41,locky,locky
42,rovnix,rovnix
43,new_goz,new_goz
44,conficker,locky
45,tinba,tinba
46,locky,tinba
47,new_goz,new_goz
48,new_goz,goz
49,new_goz,new_goz
50,goz,goz
51,tinba,tinba
52,rovnix,rovnix
53,pushdo,pushdo
54,tinba,tinba
55,pushdo,pushdo
56,rovnix,rovnix
57,zeus,new_goz
58,zeus,new_goz
59,goz,locky
60,rovnix,rovnix
61,goz,goz
62,goz,goz
63,rovnix,rovnix
64,pushdo,pushdo
65,new_goz,zeus
66,zeus,zeus
67,new_goz,zeus
68,new_goz,new_goz
69,zeus,new_goz
70,locky,tinba
71,new_goz,new_goz
72,conficker,tinba
73,goz,goz
74,conficker,locky
75,pushdo,pushdo
76,pushdo,pushdo
77,conficker,banjori
78,conficker,locky
79,new_goz,tinba
80,new_goz,new_goz
81,conficker,conficker
82,zeus,zeus
83,locky,goz
84,zeus,zeus
85,goz,goz
86,conficker,conficker
87,new_goz,new_goz
88,new_goz,zeus
89,locky,locky
90,pushdo,pushdo
91,banjori,pushdo
92,goz,goz
93,pushdo,pushdo
94,tinba,pushdo
95,locky,tinba
96,conficker,pushdo
97,pushdo,pushdo
98,banjori,banjori
99,rovnix,rovnix
100,new_goz,zeus
101,locky,locky
102,zeus,zeus
103,new_goz,zeus
104,rovnix,rovnix
105,zeus,new_goz
106,pushdo,pushdo
107,goz,goz
108,goz,goz
109,zeus,new_goz
110,goz,goz
111,tinba,tinba
112,pushdo,pushdo
113,new_goz,new_goz
114,tinba,tinba
115,tinba,tinba
116,goz,goz
117,locky,goz
118,rovnix,rovnix
119,zeus,new_goz
120,tinba,locky
121,pushdo,pushdo
122,banjori,banjori
123,zeus,new_goz
124,goz,goz
125,conficker,conficker
126,tinba,tinba
127,conficker,locky
128,banjori,banjori
129,banjori,banjori
130,locky,conficker
131,new_goz,new_goz
132,rovnix,rovnix
133,tinba,tinba
134,goz,goz
135,new_goz,zeus
136,locky,locky
137,tinba,tinba
138,conficker,conficker
139,new_goz,zeus
140,new_goz,new_goz
141,zeus,zeus
142,zeus,locky
143,banjori,banjori
144,banjori,banjori
145,new_goz,new_goz
146,pushdo,locky
147,banjori,banjori
148,goz,goz
149,pushdo,pushdo
150,zeus,locky
151,pushdo,pushdo
152,conficker,conficker
153,conficker,conficker
154,tinba,tinba
155,zeus,zeus
156,locky,conficker
157,tinba,tinba
158,pushdo,pushdo
159,conficker,conficker
160,zeus,new_goz
161,banjori,banjori
162,goz,goz
163,zeus,zeus
164,conficker,tinba
165,zeus,zeus
166,banjori,banjori
167,conficker,locky
168,zeus,zeus
169,tinba,tinba
170,pushdo,pushdo
171,new_goz,zeus
172,banjori,banjori
173,tinba,tinba
174,rovnix,rovnix
175,pushdo,pushdo
176,banjori,pushdo
177,zeus,zeus
178,locky,goz
179,rovnix,rovnix
180,new_goz,locky
181,conficker,locky
182,new_goz,new_goz
183,zeus,zeus
184,pushdo,locky
185,goz,goz
186,tinba,tinba
187,rovnix,rovnix
188,locky,locky
189,rovnix,rovnix
190,locky,goz
191,tinba,tinba
192,zeus,zeus
193,conficker,tinba
194,locky,tinba
195,locky,tinba
196,tinba,tinba
197,banjori,banjori
198,zeus,zeus
199,conficker,banjori
200,locky,goz
201,rovnix,rovnix
202,conficker,locky
203,conficker,locky
204,pushdo,pushdo
205,conficker,pushdo
206,new_goz,locky
207,tinba,goz
208,rovnix,rovnix
209,tinba,tinba
210,pushdo,pushdo
211,rovnix,rovnix
212,zeus,zeus
213,conficker,conficker
214,zeus,new_goz
215,conficker,tinba
216,pushdo,pushdo
217,locky,locky
218,rovnix,rovnix
219,new_goz,zeus
220,goz,goz
221,conficker,locky
222,locky,banjori
223,rovnix,rovnix
224,new_goz,new_goz
225,pushdo,pushdo
226,zeus,zeus
227,new_goz,new_goz
228,banjori,banjori
229,locky,locky
230,conficker,locky
231,tinba,tinba
232,goz,locky
233,zeus,zeus
234,rovnix,rovnix
235,goz,goz
236,zeus,new_goz
237,conficker,tinba
238,locky,tinba
239,zeus,zeus
240,new_goz,new_goz
241,goz,goz
242,new_goz,new_goz
243,pushdo,pushdo
244,rovnix,rovnix
245,banjori,banjori
246,tinba,tinba
247,banjori,banjori
248,goz,goz
249,locky,banjori
250,banjori,banjori
251,locky,locky
252,tinba,tinba
253,tinba,tinba
254,banjori,locky
255,conficker,rovnix
256,conficker,conficker
257,banjori,banjori
258,locky,locky
259,new_goz,zeus
