,0,1,2
0,benign,malicious,malicious
1,benign,malicious,malicious
2,benign,malicious,malicious
3,malicious,benign,benign
4,malicious,benign,benign
5,benign,malicious,malicious
6,benign,malicious,malicious
7,benign,malicious,malicious
8,benign,malicious,malicious
9,benign,malicious,malicious
10,benign,malicious,malicious
11,benign,malicious,malicious
12,malicious,benign,benign
13,benign,malicious,malicious
14,benign,malicious,malicious
15,benign,malicious,malicious
16,malicious,benign,benign
17,benign,malicious,benign
18,benign,malicious,malicious
19,benign,malicious,malicious
20,benign,malicious,malicious
21,benign,malicious,malicious
22,malicious,benign,benign
23,benign,malicious,malicious
24,benign,malicious,malicious
25,benign,malicious,malicious
26,benign,malicious,malicious
27,benign,malicious,malicious
28,benign,malicious,malicious
29,benign,malicious,malicious
30,benign,malicious,malicious
31,malicious,benign,benign
32,malicious,benign,benign
33,benign,malicious,malicious
34,benign,malicious,malicious
35,benign,malicious,malicious
36,benign,malicious,malicious
37,benign,malicious,benign
38,benign,malicious,malicious
39,malicious,benign,benign
40,benign,malicious,malicious
41,benign,malicious,malicious
42,benign,malicious,malicious
43,benign,malicious,malicious
44,benign,malicious,malicious
45,benign,malicious,malicious
46,benign,malicious,malicious
47,benign,malicious,malicious
48,benign,malicious,malicious
49,malicious,benign,benign
50,benign,malicious,malicious
51,malicious,benign,benign
52,benign,malicious,benign
53,benign,malicious,malicious
54,benign,malicious,malicious
55,benign,malicious,malicious
56,benign,malicious,malicious
57,benign,malicious,malicious
58,benign,malicious,malicious
59,benign,malicious,benign
60,benign,malicious,malicious
61,benign,malicious,malicious
62,benign,malicious,malicious
63,benign,malicious,malicious
64,benign,malicious,malicious
65,benign,malicious,malicious
66,benign,malicious,benign
67,malicious,benign,benign
68,benign,malicious,malicious
69,malicious,benign,benign
70,benign,malicious,malicious
71,malicious,benign,benign
72,benign,malicious,malicious
73,benign,malicious,malicious
74,benign,malicious,malicious
75,benign,malicious,malicious
76,benign,malicious,malicious
77,benign,malicious,benign
78,benign,malicious,malicious
79,malicious,benign,benign
80,benign,malicious,malicious
81,benign,malicious,malicious
82,malicious,benign,benign
83,benign,malicious,malicious
84,benign,malicious,malicious
85,benign,malicious,malicious
86,benign,malicious,malicious
87,benign,malicious,malicious
88,benign,malicious,malicious
89,benign,malicious,malicious
