,0,1,2,3,4,5,6,7,8,9
0,rovnix,banjori,pushdo,conficker,tinba,locky,goz,zeus,new_goz,zeus
1,rovnix,pushdo,banjori,new_goz,conficker,tinba,locky,zeus,goz,goz
2,rovnix,tinba,conficker,zeus,banjori,goz,new_goz,locky,pushdo,locky
3,banjori,pushdo,rovnix,new_goz,conficker,tinba,locky,zeus,goz,locky
4,goz,new_goz,conficker,tinba,pushdo,zeus,locky,banjori,rovnix,rovnix
5,goz,new_goz,zeus,tinba,locky,conficker,rovnix,banjori,pushdo,banjori
6,rovnix,pushdo,banjori,conficker,new_goz,tinba,locky,zeus,goz,goz
7,rovnix,banjori,pushdo,locky,conficker,tinba,new_goz,zeus,goz,goz
8,tinba,conficker,goz,new_goz,banjori,zeus,pushdo,locky,rovnix,rovnix
9,zeus,goz,rovnix,tinba,new_goz,conficker,banjori,locky,pushdo,pushdo
10,rovnix,banjori,conficker,goz,tinba,pushdo,locky,zeus,new_goz,new_goz
11,zeus,goz,tinba,new_goz,rovnix,conficker,locky,banjori,pushdo,pushdo
12,rovnix,banjori,locky,new_goz,zeus,tinba,pushdo,conficker,goz,locky
13,goz,zeus,conficker,new_goz,tinba,rovnix,banjori,locky,pushdo,banjori
14,goz,rovnix,new_goz,banjori,conficker,zeus,locky,pushdo,tinba,locky
15,rovnix,tinba,banjori,conficker,locky,zeus,new_goz,pushdo,goz,goz
16,rovnix,banjori,goz,locky,pushdo,conficker,tinba,new_goz,zeus,zeus
17,rovnix,goz,new_goz,banjori,zeus,pushdo,locky,conficker,tinba,locky
18,goz,new_goz,zeus,tinba,conficker,locky,rovnix,pushdo,banjori,banjori
19,rovnix,banjori,pushdo,conficker,goz,locky,new_goz,tinba,zeus,new_goz
20,rovnix,banjori,new_goz,zeus,locky,pushdo,tinba,goz,conficker,conficker
21,rovnix,conficker,banjori,tinba,new_goz,zeus,pushdo,goz,locky,goz
22,zeus,rovnix,tinba,conficker,goz,banjori,new_goz,locky,pushdo,pushdo
23,rovnix,banjori,tinba,conficker,zeus,new_goz,locky,pushdo,goz,goz
24,goz,rovnix,banjori,locky,tinba,conficker,pushdo,new_goz,zeus,zeus
25,goz,tinba,conficker,new_goz,banjori,zeus,locky,pushdo,rovnix,rovnix
26,goz,new_goz,tinba,conficker,zeus,locky,banjori,pushdo,rovnix,rovnix
27,goz,new_goz,tinba,conficker,locky,zeus,banjori,pushdo,rovnix,rovnix
28,goz,rovnix,new_goz,banjori,conficker,zeus,tinba,locky,pushdo,conficker
29,banjori,rovnix,pushdo,tinba,conficker,new_goz,locky,zeus,goz,goz
30,rovnix,pushdo,goz,banjori,new_goz,locky,zeus,conficker,tinba,tinba
31,goz,zeus,rovnix,conficker,new_goz,tinba,locky,banjori,pushdo,pushdo
32,rovnix,tinba,banjori,conficker,zeus,new_goz,locky,pushdo,goz,goz
33,rovnix,banjori,pushdo,new_goz,locky,tinba,conficker,zeus,goz,goz
34,rovnix,new_goz,tinba,conficker,zeus,goz,banjori,locky,pushdo,locky
35,rovnix,banjori,tinba,pushdo,locky,conficker,new_goz,zeus,goz,goz
36,goz,new_goz,tinba,conficker,locky,zeus,pushdo,banjori,rovnix,rovnix
37,rovnix,pushdo,new_goz,banjori,locky,goz,conficker,zeus,tinba,goz
38,goz,rovnix,conficker,tinba,pushdo,banjori,locky,new_goz,zeus,new_goz
39,rovnix,banjori,goz,zeus,conficker,pushdo,new_goz,tinba,locky,tinba
40,tinba,goz,conficker,new_goz,banjori,locky,zeus,pushdo,rovnix,rovnix
41,rovnix,conficker,banjori,pushdo,tinba,goz,locky,zeus,new_goz,new_goz
42,rovnix,banjori,pushdo,new_goz,locky,conficker,zeus,tinba,goz,goz
43,rovnix,pushdo,conficker,goz,banjori,tinba,new_goz,zeus,locky,locky
44,goz,tinba,conficker,new_goz,zeus,banjori,locky,pushdo,rovnix,rovnix
45,goz,rovnix,zeus,new_goz,tinba,conficker,locky,banjori,pushdo,tinba
46,rovnix,goz,new_goz,pushdo,banjori,conficker,zeus,tinba,locky,locky
47,goz,new_goz,zeus,rovnix,tinba,conficker,locky,pushdo,banjori,conficker
48,new_goz,pushdo,goz,banjori,locky,rovnix,conficker,zeus,tinba,locky
49,pushdo,goz,rovnix,banjori,locky,tinba,conficker,new_goz,zeus,new_goz
50,rovnix,pushdo,banjori,conficker,locky,tinba,goz,new_goz,zeus,zeus
51,goz,rovnix,new_goz,conficker,pushdo,zeus,banjori,tinba,locky,conficker
52,rovnix,pushdo,banjori,goz,tinba,conficker,locky,zeus,new_goz,zeus
53,rovnix,banjori,pushdo,conficker,tinba,goz,locky,new_goz,zeus,zeus
54,rovnix,goz,banjori,zeus,locky,pushdo,new_goz,conficker,tinba,conficker
55,rovnix,conficker,tinba,zeus,new_goz,banjori,pushdo,goz,locky,locky
56,rovnix,conficker,goz,zeus,pushdo,banjori,new_goz,tinba,locky,locky
57,rovnix,pushdo,banjori,new_goz,locky,conficker,tinba,goz,zeus,locky
58,rovnix,pushdo,banjori,conficker,tinba,goz,locky,new_goz,zeus,new_goz
59,rovnix,goz,new_goz,zeus,banjori,pushdo,conficker,locky,tinba,conficker
60,rovnix,goz,pushdo,new_goz,banjori,zeus,conficker,locky,tinba,tinba
61,pushdo,new_goz,rovnix,banjori,goz,locky,zeus,conficker,tinba,conficker
62,goz,new_goz,tinba,conficker,locky,banjori,zeus,pushdo,rovnix,rovnix
63,goz,new_goz,zeus,tinba,conficker,locky,rovnix,pushdo,banjori,banjori
64,rovnix,new_goz,banjori,conficker,zeus,goz,tinba,pushdo,locky,goz
65,goz,zeus,new_goz,rovnix,locky,tinba,banjori,conficker,pushdo,pushdo
66,goz,new_goz,tinba,conficker,zeus,locky,pushdo,banjori,rovnix,rovnix
67,banjori,rovnix,pushdo,conficker,tinba,goz,locky,zeus,new_goz,new_goz
