,0,1,2,3,4,5,6,7,8,9
0,new_goz,tinba,zeus,goz,locky,pushdo,rovnix,conficker,banjori,banjori
1,new_goz,goz,tinba,zeus,conficker,locky,banjori,pushdo,rovnix,rovnix
2,zeus,new_goz,banjori,goz,rovnix,conficker,tinba,locky,pushdo,pushdo
3,new_goz,zeus,tinba,rovnix,goz,conficker,banjori,locky,pushdo,pushdo
4,zeus,goz,new_goz,tinba,rovnix,conficker,locky,pushdo,banjori,banjori
5,rovnix,new_goz,zeus,pushdo,banjori,locky,conficker,goz,tinba,locky
6,rovnix,zeus,new_goz,pushdo,banjori,conficker,locky,goz,tinba,conficker
7,tinba,rovnix,goz,pushdo,conficker,banjori,zeus,locky,new_goz,zeus
8,tinba,goz,new_goz,zeus,locky,conficker,pushdo,banjori,rovnix,rovnix
9,zeus,rovnix,banjori,new_goz,conficker,goz,pushdo,tinba,locky,tinba
10,rovnix,new_goz,pushdo,zeus,tinba,banjori,conficker,locky,goz,conficker
11,tinba,goz,new_goz,zeus,conficker,banjori,locky,pushdo,rovnix,rovnix
12,rovnix,pushdo,tinba,banjori,goz,conficker,locky,zeus,new_goz,zeus
13,rovnix,tinba,pushdo,goz,banjori,zeus,new_goz,conficker,locky,new_goz
14,zeus,rovnix,new_goz,pushdo,goz,banjori,conficker,locky,tinba,conficker
15,rovnix,new_goz,zeus,pushdo,locky,banjori,tinba,goz,conficker,conficker
16,rovnix,zeus,tinba,new_goz,pushdo,conficker,banjori,goz,locky,locky
17,rovnix,pushdo,banjori,new_goz,tinba,conficker,zeus,locky,goz,new_goz
18,rovnix,pushdo,tinba,banjori,goz,locky,conficker,new_goz,zeus,zeus
19,zeus,rovnix,new_goz,banjori,pushdo,goz,conficker,tinba,locky,conficker
20,rovnix,zeus,new_goz,pushdo,banjori,conficker,goz,tinba,locky,locky
21,zeus,goz,new_goz,tinba,conficker,locky,rovnix,banjori,pushdo,pushdo
22,tinba,goz,zeus,new_goz,pushdo,locky,conficker,rovnix,banjori,banjori
23,zeus,rovnix,new_goz,locky,pushdo,goz,tinba,conficker,banjori,banjori
24,tinba,pushdo,rovnix,banjori,new_goz,goz,locky,zeus,conficker,zeus
25,tinba,goz,new_goz,zeus,conficker,banjori,locky,pushdo,rovnix,rovnix
26,rovnix,zeus,new_goz,pushdo,banjori,conficker,locky,goz,tinba,tinba
