,0,1,2,3,4,5,6,7,8,9
0,zeus,banjori,pushdo,new_goz,tinba,locky,goz,conficker,rovnix,pushdo
1,banjori,pushdo,rovnix,tinba,conficker,locky,goz,new_goz,zeus,new_goz
2,banjori,pushdo,tinba,conficker,rovnix,locky,goz,zeus,new_goz,zeus
3,tinba,banjori,rovnix,pushdo,conficker,locky,goz,zeus,new_goz,new_goz
4,pushdo,banjori,rovnix,conficker,tinba,zeus,locky,new_goz,goz,goz
5,rovnix,pushdo,banjori,tinba,zeus,locky,conficker,goz,new_goz,locky
6,locky,tinba,conficker,pushdo,new_goz,goz,banjori,zeus,rovnix,rovnix
7,banjori,pushdo,tinba,rovnix,conficker,locky,goz,zeus,new_goz,new_goz
8,tinba,goz,zeus,locky,pushdo,rovnix,new_goz,conficker,banjori,banjori
9,zeus,rovnix,pushdo,tinba,conficker,banjori,new_goz,locky,goz,banjori
10,banjori,pushdo,rovnix,new_goz,zeus,conficker,locky,tinba,goz,conficker
11,rovnix,pushdo,banjori,conficker,tinba,zeus,locky,new_goz,goz,goz
12,pushdo,banjori,conficker,rovnix,new_goz,locky,zeus,tinba,goz,goz
13,banjori,pushdo,rovnix,conficker,tinba,locky,goz,zeus,new_goz,new_goz
14,tinba,locky,goz,zeus,banjori,pushdo,new_goz,conficker,rovnix,pushdo
15,pushdo,banjori,rovnix,conficker,zeus,new_goz,locky,tinba,goz,goz
16,banjori,pushdo,rovnix,zeus,new_goz,conficker,locky,tinba,goz,conficker
17,pushdo,banjori,rovnix,conficker,zeus,new_goz,locky,tinba,goz,goz
18,pushdo,banjori,rovnix,tinba,conficker,locky,zeus,goz,new_goz,zeus
19,rovnix,banjori,pushdo,conficker,zeus,tinba,new_goz,locky,goz,locky
20,pushdo,banjori,rovnix,zeus,new_goz,conficker,locky,tinba,goz,conficker
21,locky,tinba,conficker,goz,pushdo,zeus,new_goz,banjori,rovnix,rovnix
22,rovnix,banjori,tinba,pushdo,zeus,conficker,locky,goz,new_goz,conficker
23,locky,tinba,pushdo,conficker,new_goz,goz,banjori,zeus,rovnix,rovnix
24,pushdo,banjori,zeus,conficker,locky,new_goz,tinba,rovnix,goz,locky
25,rovnix,pushdo,tinba,banjori,conficker,locky,zeus,new_goz,goz,new_goz
26,pushdo,banjori,rovnix,conficker,zeus,locky,tinba,new_goz,goz,goz
27,pushdo,banjori,rovnix,conficker,tinba,zeus,new_goz,locky,goz,goz
28,zeus,pushdo,tinba,locky,conficker,new_goz,banjori,rovnix,goz,banjori
29,rovnix,pushdo,banjori,zeus,conficker,new_goz,tinba,goz,locky,conficker
30,pushdo,banjori,rovnix,conficker,locky,zeus,new_goz,tinba,goz,goz
31,tinba,pushdo,rovnix,banjori,conficker,locky,goz,zeus,new_goz,zeus
32,pushdo,banjori,rovnix,tinba,conficker,locky,goz,new_goz,zeus,new_goz
33,tinba,banjori,pushdo,rovnix,conficker,locky,goz,zeus,new_goz,new_goz
34,rovnix,banjori,pushdo,tinba,conficker,locky,goz,zeus,new_goz,new_goz
35,rovnix,banjori,pushdo,conficker,zeus,new_goz,locky,tinba,goz,tinba
36,tinba,banjori,pushdo,rovnix,conficker,locky,goz,zeus,new_goz,new_goz
37,banjori,zeus,new_goz,locky,tinba,goz,pushdo,conficker,rovnix,pushdo
38,pushdo,banjori,rovnix,tinba,locky,conficker,zeus,new_goz,goz,locky
39,pushdo,banjori,rovnix,tinba,conficker,locky,goz,new_goz,zeus,zeus
40,pushdo,banjori,tinba,rovnix,conficker,locky,zeus,goz,new_goz,new_goz
41,locky,tinba,conficker,pushdo,zeus,banjori,new_goz,goz,rovnix,rovnix
42,banjori,pushdo,rovnix,conficker,tinba,locky,goz,zeus,new_goz,new_goz
43,locky,tinba,conficker,pushdo,new_goz,goz,banjori,zeus,rovnix,rovnix
44,locky,tinba,conficker,pushdo,banjori,new_goz,zeus,goz,rovnix,rovnix
45,banjori,pushdo,tinba,rovnix,conficker,locky,goz,new_goz,zeus,zeus
46,banjori,rovnix,pushdo,new_goz,zeus,conficker,locky,goz,tinba,tinba
47,tinba,locky,zeus,goz,banjori,rovnix,conficker,new_goz,pushdo,pushdo
48,locky,tinba,conficker,pushdo,goz,zeus,banjori,new_goz,rovnix,rovnix
49,pushdo,banjori,zeus,rovnix,conficker,tinba,new_goz,locky,goz,tinba
50,locky,tinba,new_goz,conficker,pushdo,goz,zeus,banjori,rovnix,rovnix
51,banjori,rovnix,pushdo,tinba,conficker,locky,goz,new_goz,zeus,new_goz
52,tinba,banjori,pushdo,locky,rovnix,conficker,goz,zeus,new_goz,new_goz
53,rovnix,pushdo,banjori,tinba,zeus,goz,locky,conficker,new_goz,conficker
54,tinba,pushdo,banjori,rovnix,conficker,locky,goz,zeus,new_goz,new_goz
55,locky,tinba,pushdo,conficker,zeus,new_goz,goz,banjori,rovnix,rovnix
56,pushdo,rovnix,banjori,zeus,conficker,new_goz,tinba,locky,goz,locky
57,tinba,banjori,pushdo,rovnix,conficker,locky,goz,zeus,new_goz,zeus
58,pushdo,banjori,rovnix,conficker,zeus,new_goz,tinba,locky,goz,goz
59,pushdo,banjori,rovnix,zeus,new_goz,conficker,locky,tinba,goz,tinba
60,banjori,pushdo,rovnix,new_goz,zeus,conficker,locky,goz,tinba,tinba
61,rovnix,pushdo,banjori,conficker,zeus,new_goz,tinba,locky,goz,goz
62,tinba,locky,zeus,pushdo,conficker,goz,banjori,new_goz,rovnix,banjori
63,pushdo,banjori,tinba,rovnix,conficker,locky,zeus,goz,new_goz,zeus
64,banjori,pushdo,rovnix,tinba,conficker,locky,goz,zeus,new_goz,new_goz
65,pushdo,banjori,rovnix,conficker,new_goz,zeus,locky,tinba,goz,locky
66,banjori,pushdo,rovnix,new_goz,zeus,conficker,locky,goz,tinba,tinba
67,rovnix,banjori,pushdo,tinba,zeus,conficker,locky,new_goz,goz,locky
68,tinba,pushdo,banjori,conficker,rovnix,locky,goz,zeus,new_goz,zeus
69,pushdo,banjori,tinba,conficker,rovnix,locky,goz,zeus,new_goz,new_goz
70,tinba,pushdo,banjori,locky,conficker,rovnix,goz,zeus,new_goz,new_goz
71,banjori,pushdo,rovnix,zeus,conficker,tinba,locky,new_goz,goz,locky
72,pushdo,banjori,rovnix,zeus,conficker,new_goz,locky,tinba,goz,conficker
73,banjori,pushdo,rovnix,zeus,conficker,new_goz,locky,tinba,goz,tinba
74,tinba,pushdo,banjori,rovnix,conficker,locky,goz,zeus,new_goz,zeus
75,rovnix,banjori,pushdo,zeus,new_goz,conficker,locky,tinba,goz,conficker
76,rovnix,banjori,pushdo,new_goz,zeus,conficker,goz,locky,tinba,tinba
77,locky,banjori,tinba,new_goz,goz,conficker,zeus,pushdo,rovnix,pushdo
78,tinba,locky,pushdo,conficker,banjori,goz,rovnix,new_goz,zeus,new_goz
79,goz,tinba,rovnix,zeus,locky,banjori,new_goz,conficker,pushdo,pushdo
80,pushdo,banjori,rovnix,conficker,new_goz,locky,zeus,tinba,goz,goz
81,locky,tinba,conficker,goz,new_goz,pushdo,zeus,banjori,rovnix,rovnix
82,rovnix,banjori,pushdo,zeus,tinba,conficker,goz,new_goz,locky,locky
83,pushdo,rovnix,banjori,zeus,new_goz,conficker,locky,goz,tinba,tinba
84,pushdo,banjori,rovnix,conficker,zeus,new_goz,tinba,locky,goz,goz
85,tinba,banjori,pushdo,rovnix,conficker,locky,goz,zeus,new_goz,zeus
86,pushdo,banjori,rovnix,conficker,tinba,zeus,locky,new_goz,goz,tinba
87,locky,tinba,goz,zeus,pushdo,conficker,new_goz,banjori,rovnix,rovnix
88,pushdo,banjori,rovnix,tinba,conficker,locky,goz,zeus,new_goz,zeus
89,tinba,banjori,pushdo,rovnix,conficker,locky,goz,zeus,new_goz,zeus
90,rovnix,tinba,zeus,banjori,new_goz,goz,locky,pushdo,conficker,pushdo
91,tinba,locky,conficker,banjori,goz,rovnix,new_goz,zeus,pushdo,pushdo
92,tinba,banjori,rovnix,pushdo,conficker,locky,goz,zeus,new_goz,new_goz
93,banjori,pushdo,tinba,rovnix,conficker,goz,locky,zeus,new_goz,zeus
94,rovnix,banjori,pushdo,tinba,zeus,conficker,goz,new_goz,locky,locky
95,locky,tinba,conficker,goz,pushdo,new_goz,banjori,zeus,rovnix,rovnix
96,pushdo,rovnix,banjori,zeus,conficker,new_goz,locky,tinba,goz,tinba
97,pushdo,banjori,tinba,conficker,rovnix,locky,zeus,new_goz,goz,goz
98,banjori,rovnix,pushdo,new_goz,tinba,goz,zeus,locky,conficker,tinba
99,rovnix,pushdo,banjori,zeus,conficker,tinba,locky,new_goz,goz,locky
100,banjori,zeus,pushdo,tinba,new_goz,locky,conficker,goz,rovnix,locky
101,pushdo,rovnix,banjori,conficker,zeus,tinba,locky,new_goz,goz,goz
102,tinba,zeus,locky,pushdo,goz,banjori,new_goz,conficker,rovnix,banjori
103,locky,tinba,conficker,new_goz,pushdo,goz,banjori,zeus,rovnix,rovnix
104,tinba,zeus,locky,goz,pushdo,banjori,conficker,new_goz,rovnix,conficker
105,pushdo,banjori,rovnix,new_goz,zeus,conficker,locky,goz,tinba,tinba
106,pushdo,banjori,conficker,rovnix,locky,new_goz,zeus,tinba,goz,conficker
107,pushdo,banjori,rovnix,new_goz,conficker,zeus,locky,goz,tinba,tinba
108,tinba,locky,zeus,conficker,pushdo,new_goz,goz,banjori,rovnix,banjori
109,tinba,rovnix,banjori,locky,zeus,new_goz,goz,conficker,pushdo,pushdo
110,rovnix,pushdo,banjori,zeus,conficker,new_goz,locky,tinba,goz,conficker
111,tinba,rovnix,zeus,goz,banjori,locky,conficker,pushdo,new_goz,pushdo
112,pushdo,banjori,conficker,rovnix,locky,zeus,tinba,new_goz,goz,goz
113,banjori,pushdo,rovnix,zeus,conficker,new_goz,tinba,goz,locky,tinba
114,locky,tinba,conficker,pushdo,new_goz,goz,banjori,zeus,rovnix,rovnix
115,locky,tinba,conficker,pushdo,goz,new_goz,banjori,zeus,rovnix,rovnix
116,pushdo,banjori,new_goz,zeus,goz,locky,conficker,tinba,rovnix,locky
117,tinba,pushdo,banjori,rovnix,conficker,locky,goz,zeus,new_goz,new_goz
118,pushdo,banjori,rovnix,conficker,new_goz,zeus,tinba,locky,goz,goz
119,tinba,rovnix,pushdo,banjori,conficker,locky,goz,zeus,new_goz,new_goz
120,pushdo,rovnix,banjori,zeus,new_goz,conficker,goz,locky,tinba,tinba
121,pushdo,banjori,zeus,rovnix,conficker,locky,new_goz,tinba,goz,locky
122,banjori,pushdo,tinba,conficker,rovnix,locky,goz,zeus,new_goz,zeus
123,rovnix,tinba,banjori,pushdo,conficker,locky,goz,zeus,new_goz,zeus
124,locky,tinba,conficker,pushdo,new_goz,banjori,zeus,goz,rovnix,rovnix
125,rovnix,pushdo,banjori,zeus,new_goz,conficker,locky,goz,tinba,tinba
126,pushdo,banjori,conficker,new_goz,zeus,locky,rovnix,tinba,goz,goz
127,rovnix,pushdo,banjori,conficker,zeus,tinba,locky,new_goz,goz,goz
128,rovnix,banjori,zeus,tinba,goz,pushdo,conficker,new_goz,locky,conficker
129,tinba,goz,locky,zeus,conficker,pushdo,banjori,new_goz,rovnix,banjori
130,zeus,goz,tinba,banjori,new_goz,pushdo,rovnix,conficker,locky,pushdo
131,banjori,pushdo,rovnix,tinba,conficker,locky,goz,new_goz,zeus,new_goz
132,pushdo,rovnix,banjori,zeus,conficker,new_goz,locky,tinba,goz,goz
133,rovnix,banjori,tinba,zeus,locky,conficker,pushdo,new_goz,goz,pushdo
134,pushdo,banjori,rovnix,conficker,zeus,locky,new_goz,tinba,goz,goz
135,pushdo,banjori,rovnix,zeus,conficker,new_goz,tinba,locky,goz,locky
136,zeus,tinba,banjori,locky,goz,rovnix,new_goz,pushdo,conficker,pushdo
137,pushdo,banjori,tinba,conficker,locky,zeus,new_goz,rovnix,goz,goz
138,banjori,rovnix,pushdo,conficker,new_goz,zeus,tinba,goz,locky,locky
139,pushdo,banjori,zeus,new_goz,conficker,rovnix,locky,goz,tinba,tinba
140,rovnix,banjori,pushdo,tinba,zeus,goz,conficker,new_goz,locky,conficker
141,rovnix,pushdo,banjori,conficker,zeus,new_goz,locky,tinba,goz,goz
